experiment,assumption_note,model,sample_rows,sample_churn_rate,train_rows,train_churn_rate,val_rows,val_churn_rate,test_rows,test_churn_rate,threshold,val_best_f1,test_oracle_threshold,test_oracle_f1,test_roc_auc,test_average_precision,train_seconds,test_tuned_f1,test_tuned_precision,test_tuned_recall,test_tuned_tn,test_tuned_fp,test_tuned_fn,test_tuned_tp,test_tuned_pred_pos_rate,test_default_f1,test_default_precision,test_default_recall,test_default_tn,test_default_fp,test_default_fn,test_default_tp,test_default_pred_pos_rate
balanced_population_assumption,What-if experiment: all churn rows plus the same number of random non-churn rows. Test set is also balanced.,RandomForest_balanced,1098,0.5,658,0.5,220,0.5,220,0.5,0.30705154557360087,0.6707317073170732,0.28392148664237415,0.6666666666666666,0.5452892561983472,0.5386199095476428,0.65,0.6666666666666666,0.5023041474654378,0.990909090909091,2,108,1,109,0.9863636363636363,0.5352112676056338,0.5533980582524272,0.5181818181818182,64,46,53,57,0.4681818181818182
balanced_population_assumption,What-if experiment: all churn rows plus the same number of random non-churn rows. Test set is also balanced.,LogReg_balanced,1098,0.5,658,0.5,220,0.5,220,0.5,0.23186484060560178,0.6728395061728396,0.01895425777639228,0.6686930091185409,0.49735537190082635,0.5097923136703901,0.035,0.6625,0.5047619047619047,0.9636363636363636,6,104,4,106,0.9545454545454546,0.45714285714285713,0.48,0.43636363636363634,58,52,62,48,0.45454545454545453
balanced_population_assumption,What-if experiment: all churn rows plus the same number of random non-churn rows. Test set is also balanced.,DecisionTree_balanced,1098,0.5,658,0.5,220,0.5,220,0.5,0.09090909090909091,0.676923076923077,0.0,0.6666666666666666,0.5742975206611569,0.5397189158842547,0.028,0.6563467492260062,0.49765258215962443,0.9636363636363636,3,107,4,106,0.9681818181818181,0.6160337552742616,0.5748031496062992,0.6636363636363637,56,54,37,73,0.5772727272727273
balanced_population_assumption,What-if experiment: all churn rows plus the same number of random non-churn rows. Test set is also balanced.,ExtraTrees_balanced,1098,0.5,658,0.5,220,0.5,220,0.5,0.40861699303920807,0.6777408637873754,0.31482045477650594,0.6666666666666666,0.5270247933884299,0.5383568811758095,0.482,0.6357615894039735,0.5,0.8727272727272727,14,96,14,96,0.8727272727272727,0.45595854922279794,0.5301204819277109,0.4,71,39,66,44,0.37727272727272726
balanced_population_assumption,What-if experiment: all churn rows plus the same number of random non-churn rows. Test set is also balanced.,HistGB_balanced,1098,0.5,658,0.5,220,0.5,220,0.5,0.24722612100353278,0.7034482758620689,0.018728678996561075,0.6666666666666666,0.5275206611570248,0.5209800198876526,0.329,0.6164874551971327,0.5088757396449705,0.7818181818181819,27,83,24,86,0.7681818181818182,0.5238095238095238,0.55,0.5,65,45,55,55,0.45454545454545453
downsampled_train_original_holdout,Only the training set is downsampled. Validation and test keep the real imbalanced distribution.,DecisionTree_balanced,4040,0.1358910891089109,658,0.5,1691,0.06505026611472502,1691,0.06505026611472502,0.5111111111111111,0.14037433155080217,0.5111111111111111,0.13350785340314136,0.5503220056350986,0.0753137614620221,0.038,0.13350785340314136,0.07193229901269393,0.9272727272727272,265,1316,8,102,0.8385570668243643,0.13350785340314136,0.07193229901269393,0.9272727272727272,265,1316,8,102,0.8385570668243643
downsampled_train_original_holdout,Only the training set is downsampled. Validation and test keep the real imbalanced distribution.,HistGB_balanced,4040,0.1358910891089109,658,0.5,1691,0.06505026611472502,1691,0.06505026611472502,0.5891528257775644,0.14736842105263157,0.7034231647209479,0.1411764705882353,0.5649330113276982,0.10517828498329915,0.52,0.13245033112582782,0.07751937984496124,0.45454545454545453,986,595,60,50,0.38143110585452394,0.1323529411764706,0.07482185273159145,0.5727272727272728,802,779,47,63,0.4979302188054406
downsampled_train_original_holdout,Only the training set is downsampled. Validation and test keep the real imbalanced distribution.,RandomForest_balanced,4040,0.1358910891089109,658,0.5,1691,0.06505026611472502,1691,0.06505026611472502,0.555252469134884,0.17842323651452285,0.5075371349062948,0.13768115942028986,0.5546460813064229,0.08351160782927622,0.72,0.1257606490872211,0.08093994778067885,0.2818181818181818,1229,352,79,31,0.22649319929036074,0.1310734463276836,0.07483870967741936,0.5272727272727272,864,717,52,58,0.4583086930810171
downsampled_train_original_holdout,Only the training set is downsampled. Validation and test keep the real imbalanced distribution.,LogReg_balanced,4040,0.1358910891089109,658,0.5,1691,0.06505026611472502,1691,0.06505026611472502,0.5767304384974591,0.1532258064516129,0.4867245891838114,0.13710554951033732,0.5513253981944684,0.07843717369901684,0.044,0.12184873949579832,0.07923497267759563,0.2636363636363636,1244,337,81,29,0.21643997634535778,0.12832929782082325,0.07402234636871509,0.4818181818181818,918,663,57,53,0.423418095801301
downsampled_train_original_holdout,Only the training set is downsampled. Validation and test keep the real imbalanced distribution.,ExtraTrees_balanced,4040,0.1358910891089109,658,0.5,1691,0.06505026611472502,1691,0.06505026611472502,0.5451702628167596,0.18716577540106952,0.49929584006646166,0.16356877323420074,0.5962998102466794,0.08662667549131148,0.56,0.11461318051575932,0.08368200836820083,0.18181818181818182,1362,219,90,20,0.1413364872856298,0.16229712858926343,0.09406657018813314,0.5909090909090909,955,626,45,65,0.4086339444115908
original_distribution,Real Baza distribution. Churn remains about 6.5%.,DecisionTree_balanced,8453,0.06494735596829528,5071,0.06487872214553342,1691,0.06505026611472502,1691,0.06505026611472502,0.5578532324373954,0.15469613259668508,0.0,0.12215435868961688,0.5075556322235639,0.06907448205221961,0.078,0.12181616832779624,0.06935687263556116,0.5,843,738,55,55,0.4689532820816085,0.12181616832779624,0.06935687263556116,0.5,843,738,55,55,0.4689532820816085
original_distribution,Real Baza distribution. Churn remains about 6.5%.,HistGB_balanced,8453,0.06494735596829528,5071,0.06487872214553342,1691,0.06505026611472502,1691,0.06505026611472502,0.4496983362739086,0.1619047619047619,0.3294735402111594,0.13105413105413105,0.5131389799321489,0.07230776151579682,1.283,0.10845295055821372,0.06576402321083172,0.3090909090909091,1098,483,76,34,0.30573625073920757,0.10526315789473684,0.06936416184971098,0.21818181818181817,1259,322,86,24,0.2046126552335896
original_distribution,Real Baza distribution. Churn remains about 6.5%.,RandomForest_balanced,8453,0.06494735596829528,5071,0.06487872214553342,1691,0.06505026611472502,1691,0.06505026611472502,0.5115902562122274,0.18808777429467086,0.4930520826805258,0.13972055888223553,0.5318843079753895,0.07684176753536956,1.503,0.1027190332326284,0.07692307692307693,0.15454545454545454,1377,204,93,17,0.13069189828503844,0.12903225806451613,0.08641975308641975,0.2545454545454545,1285,296,82,28,0.19160260201064458
original_distribution,Real Baza distribution. Churn remains about 6.5%.,LogReg_balanced,8453,0.06494735596829528,5071,0.06487872214553342,1691,0.06505026611472502,1691,0.06505026611472502,0.6237773869766188,0.17391304347826086,0.49444625940792036,0.1425061425061425,0.5587947789086309,0.07848840997604839,0.113,0.10067114093959731,0.0797872340425532,0.13636363636363635,1408,173,95,15,0.11117681845062094,0.1357234314980794,0.07898658718330849,0.4818181818181818,963,618,57,53,0.3968066232998226
original_distribution,Real Baza distribution. Churn remains about 6.5%.,ExtraTrees_balanced,8453,0.06494735596829528,5071,0.06487872214553342,1691,0.06505026611472502,1691,0.06505026611472502,0.5468457541225843,0.19923371647509577,0.4806944753332681,0.13932584269662918,0.5551635903628314,0.07488272817416318,1.177,0.07377049180327869,0.06716417910447761,0.08181818181818182,1456,125,101,9,0.07924305144884683,0.13311148086522462,0.0814663951120163,0.36363636363636365,1130,451,70,40,0.29036073329390893
